Ville,Type,Surface,NbPieces,NbChambres,NbSdb,DPE,Prix
Ozoir-la-Ferrière,Maison,160 ,6,4,2,-,445000
Pontault-Combault,Maison,109 ,5,3,1,-,333000
Chelles,Maison,105 ,6,4,1,-,272000
Montmorency,Appartement,79 ,4,2,1,-,235000
Voulangis,Maison,88 ,4,2,2,-,50000
Solers,Maison,96 ,5,4,2,-,295000
Saint-Escobille,Appartement,39 ,2,1,1,-,145000
Villiers-en-Bière,Appartement,73 ,4,3,1,-,145000
Le Mée-sur-Seine,Appartement,110 ,6,3,1,-,150000
Paris 20ème,Appartement,108 ,4,2,1,-,540000
Servon,Appartement,77 ,4,3,1,-,206000
Paris 1er,Maison,91 ,91,3,1,-,32300
Montigny-lès-Cormeilles,Appartement,47 ,2,1,1,-,175000
Créteil,Appartement,114 ,6,3,1,-,240000
Sarcelles,Appartement,85 ,5,4,1,-,195000
Livry-Gargan,Appartement,50 ,3,2,1,-,150000
Vulaines-lès-Provins,Maison,118 ,5,4,2,-,245000
Le Mesnil-le-Roi,Appartement,80 ,4,2,1,-,369000
Bobigny,Appartement,84 ,4,3,1,-,269000
Clichy-sous-Bois,Appartement,56 ,3,2,1,-,120000
Clichy,Appartement,65 ,3,2,1,-,100000
Clichy,Appartement,65 ,3,3,1,-,100000
Voulangis,Maison,100 ,5,3,1,-,280000
Versailles,Appartement,23 ,1,1,1,-,140000
Grigny,Appartement,70 ,4,2,1,-,180000
Neufmoutiers-en-Brie,Maison,100 ,4,3,1,-,255000
Montfermeil,Maison,130 ,5,3,2,-,375000
Rosny-sous-Bois,Maison,500 ,13,7,6,-,1707000
Paris 11ème,Appartement,121 ,5,4,1,-,780000
Sancy-lès-Provins,Maison,180 ,8,4,2,-,265000
Sevran,Appartement,30 ,1,-,1,-,72000
Vémars,Appartement,68 ,4,3,1,-,155000
Clichy,Appartement,48 ,2,1,1,-,215000
Émerainville,Maison,90 ,4,3,1,-,245000
Aulnay-sous-Bois,Appartement,15 ,1,-,1,-,64000
Roissy-en-Brie,Maison,93 ,5,3,1,-,235000
Roissy-en-Brie,Maison,93 ,5,3,1,-,235000
Bobigny,Appartement,59 ,3,2,1,-,189000
Fontenay-le-Fleury,Appartement,55 ,2,1,1,-,160000
Gournay-sur-Marne,Maison,100 ,5,3,2,-,350000
Angerville,Maison,50 ,3,2,1,-,22000
Montigny-sur-Loing,Maison,135 ,8,5,1,-,350000
Savigny-le-Temple,Maison,145 ,6,4,2,-,262000
Vendrest,Maison,93 ,4,3,1,-,240000
Vaux-le-Pénil,Maison,70 ,4,2,1,-,130000
Créteil,Appartement,77 ,3,3,1,-,250000
Gagny,Maison,84 ,5,4,1,-,280000
Pontoise,Maison,75 ,5,3,1,-,255000
Ecquevilly,Appartement,56 ,2,1,1,-,170000
Paris 1er,Appartement,12 ,1,-,1,-,147000
Paris 13ème,Appartement,9 ,-,-,-,-,89000
Pontault-Combault,Appartement,55 ,2,1,1,-,181000
Montmagny,Maison,174 ,6,3,2,-,410000
Choisy-le-Roi,Appartement,82 ,4,3,1,-,249000
Plaisir,Appartement,60 ,3,2,1,-,195000
Paris 18ème,Appartement,80 ,3,2,1,-,390000
Aulnay-sous-Bois,Appartement,96 ,4,3,2,-,178000
Clamart,Appartement,28 ,2,1,1,-,138000
Écouen,Appartement,45 ,2,1,1,-,135000
Parmain,Maison,110 ,5,4,1,-,220000
Argenteuil,Appartement,122 ,4,2,1,-,375000
Saints,Maison,95 ,5,3,1,-,228000
Limeil-Brévannes,Appartement,90 ,5,3,1,-,210000
Colombes,Maison,90 ,4,3,1,-,500000
Ville-Saint-Jacques,Maison,54 ,3,2,1,-,25000
Courbevoie,Appartement,47 ,2,1,1,-,190000
Nogent-sur-Marne,Appartement,76 ,4,3,1,-,280000
Chelles,Maison,150 ,-,4,2,-,200000
Sarcelles,Maison,-,5,3,2,-,345000
Pontoise,Appartement,131 ,6,5,2,-,250000
Vigneux-sur-Seine,Appartement,50 ,2,1,1,-,126000
